hearing_id,url,link_text
280028,https://calmatters.digitaldemocracy.org/hearings/280028#t=1307&f=d71225e1f8371b3f0e5a13f75e786921,1MIN
280019,https://calmatters.digitaldemocracy.org/hearings/280019#t=977&f=312bcabfad8c049dfd1c7c11c0c514c2,3MIN
279787,https://calmatters.digitaldemocracy.org/hearings/279787#t=819&f=a30bba37029c3eb83954d4adbca61c5f,1MIN
279661,https://calmatters.digitaldemocracy.org/hearings/279661#t=142&f=31efc53d6586807986a7d4e9a62905fb,11MIN
279611,https://calmatters.digitaldemocracy.org/hearings/279611#t=491&f=992e371ba0da5228555aac7c749f2bfb,4MIN
279175,https://calmatters.digitaldemocracy.org/hearings/279175#t=481&f=0472cb0961c242a8a47f77c32e5ff511,11MIN
